title,author,date_pub,full_text
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","This is the speech by General Secretary Xi Jinping at the first meeting of the Central Committee for the Comprehensive Rule of Law on August 24, 2018."
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018",The Party Central Committee has decided to establish a Central Committee for the Comprehensive Rule of Law. This is the first time in our Party’s history that such an institution has been established. Its purpose is to strengthen the Party’s centralized and unified leadership over the comprehensive rule of law and coordinate and promote the work involved in the comprehensive rule of law. 
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018",I. Fully Understand the Great Significance of the Establishment of the Central Committee for the Comprehensive Rule of Law 
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","Since the 18th Party Congress, I have attached great importance to the rule of law, and talked a great deal about it. Currently, our country is in a period of historical confluence where were are achieving our “two centennial” objectives. In order to adhere to and develop socialism with Chinese characteristics, we need to rely on the rule of law even more and strengthen the Party’s leadership of the comprehensive rule of law even more. The Party Central Committee’s decision to establish the Central Committee for the Comprehensive Rule of Law is primarily based on the following considerations. "
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","First, there is the need to implement the spirit of the 19th Party Congress and strengthen the Party’s centralized and unified leadership of the comprehensive rule of law. The Fourth Plenum of the 18th Central Committee formulated the top-level design, road map, and construction drawings to promote the comprehensive rule of law. The 19th Party Congress put forward new tasks for advancing the comprehensive rule of law in the new era, clarifying that by 2035, we must basically have established a country under the rule of law, a government under the rule of law, and a society under the rule of law. To better implement these goals and tasks, the Party Central Committee listened to the opinions and suggestions of all parties and decided to establish the Central Committee for the Comprehensive Rule of Law. The committee was established to improve the Party’s leadership system and working mechanism for comprehensively governing the country according to law, strengthen the leadership of the Party Central Committee in areas such as scientific legislation, strict law enforcement, impartial justice, and compliance with the law by all, and more forcefully promote the implementation of the Party Central Committee’s decisions and deployments. "
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","I have repeatedly spoken of the question of the relationship between Party leadership and the rule of law. Promoting the institutionalization and rule of law of the Party’s leadership is not only a proper means of strengthening the Party’s leadership, but also an important task in constructing the rule of law. Why is it that our country can maintain long-term stability without chaos? The fundamental reason is that we always adhere to the leadership of the Communist Party. The leadership of the Party is the “magic staff” (定海神针, the staff of Sun Wukong in novel Journey to the West) of the continuous development of the Party and the country. For this amendment of the Constitution, on the basis that the preamble of the Constitution confirms the leadership of the Party, we have clearly stipulated in the general outline that the leadership of the Communist Party of China (CCP) is the defining feature of socialism with Chinese characteristics and strengthened the Party’s leadership position in overseeing the overall situation and coordinating all parties. After the amendment of the constitution, the response by all parties has been very good. We must continue to promote the institutionalization and rule of law of the Party’s leadership, continuously improve the Party’s leadership system and working mechanisms, and implement the Party’s leadership throughout the entire process and all aspects of the comprehensive rule of law. "
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","Only when governing the Party according to regulations goes deep into the hearts of the Party can ruling the country according to the law penetrate into the hearts of the people. Since the 18th Party Congress, we have formulated and revised more than 140 central Party laws and regulations and introduced a number of landmark, critical, and basic institutions for laws and regulations. The issue that there must be rules to follow has basically been solved, and the next step is to enforce the rules strictly so that internal Party laws and regulations can be truly implemented. The vast majority of officials removed due to violations stated that they did not understand Party discipline and national laws in their confessions. Why do so many high-ranking cadres in the Party take the path of crime? The fundamental reason is that their ideals and beliefs have been shaken, but the lack of reverence for Party discipline and national laws is also an important reason. "
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","Second, this shows the need to study and resolve major issues and major problems in governing the country according to law and to coordinate and the need to promote the construction of the system of socialist rule of law with Chinese characteristics and a socialist country ruled by law. The comprehensive rule of law is a long-term and important historical task as well as a profound social change. At present, there are many weak links in legislation, law enforcement, justice, and compliance with the law. Reforms in the rule of law field face many difficult obstacles and there is an urgent need to strengthen overall coordination from the level of the Party Central Committee. "
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","To implement the new development concept and realize the transition of the economy from high-speed growth to high-quality development, we must adhere to the rule of law as our guide. Regarding the relationship between development and the rule of law, there is still the misunderstanding that “development is the most important while the rule of law is merely permitted” (发展要上、法治要让) in some places. Last year, the Party Central Committee dealt with the ecological environment problems of the Qilian Mountain National Park, and a group of Party and government officials were disciplined. The Regulations on the Management of Gansu Qilian Mountain National Park has undergone three revisions and some of its regulations have always been inconsistent with the Regulations of the People’s Republic of China on Nature Reserves. The “intentional laxity” (放水, to throw the game) in legislation and “forfeit” (放弃) of law enforcement have led to serious damage to the Qilian Mountain ecosystem. Such lessons must be taken deeply to heart. "
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","The foundation and strength of the Party lie in the people. Now, the people’s yearning for a better life has extended further in the directions of democracy, the rule of law, fairness, justice, security, and the environment. The people’s opinions on chaotic application, inaction, and judicial injustice in law enforcement are relatively unified. This should become the focus and point of effort for our enforcement of the rule of law. For example, some underworld forces have been conducting illegal activities such as the gathering of crowds, monopolistic operations, extortion, and the operation of gambling venues for a long time, but the people dare not say anything. How can underworld forces grow from small to large right under our noses? In my opinion, there are situations in which law enforcement agencies remain inactive. Some local law enforcement agencies have even cooperated with the underworld forces, serving as their protective umbrellas. Law enforcement agencies represent the interests of the people and must not become a protective umbrella for clan forces and underworld forces. In recent years, the judiciary has corrected a number of wrongful convictions from unjust, false, and erroneous cases such as the unjust murder of Gejiletu, the Nie Shubin case, and the Nian Bin case in accordance with the law, which has been well received by the general public. There are many reasons for wrongful convictions, including the lack of basic judicial conscience and responsibility of judicial personnel. Deeper-level causes are that the allocation of judicial powers and the mechanisms through which power operates are unscientific and that institutional mechanisms for the mutual restriction of the powers of investigation, prosecution, trial, and enforcement have not really taken shape. The recent case of the Changchun Changsheng counterfeit vaccine resulted from non-compliance with laws, lax law enforcement, and the view that laws and regulations are nothing important. This requires that we promote strict, impartial, and civilized law enforcement so that the people will truly feel surrounded by fairness and justice. "
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","China is going out into the world and participating in international affairs as a responsible power. We must be adept at applying the rule of law. In external struggles, we must take up legal weapons, occupy the commanding heights of the rule of law, and dare to say no to saboteurs and disruptors. The global governance system is in a critical period of adjustment and reform. We must actively participate in the formulation of international rules and be a participant, promoter, and leader in the process of global governance reform. "
Strengthen the Party’s Leadership in the Comprehensive Rule of Law,Xi Jinping ,"Aug 24, 2018","Third, there is the need to promote the realization of the “two centennial” objectives and to provide legal assurance for the realization of the Chinese dream of the great rejuvenation of the Chinese nation. Both history and the current reality tell us that the rule of law leads to the prosperity of the country, and the strong rule of law leads to a strong country. Looking at ancient China, all times of prosperity were periods with relatively sound legal systems. During the Spring and Autumn and Warring States Period, the Legalists advocated “rule by law” and put it into practice in the Qin State of Yongzhou. Shang Yang “planted trees and built trust” and emphasized that “laws must be clear and orders must be implemented.” Qin quickly became one of the powerful states and eventually led the unification of the six states under Emperor Qin Shihuang. Liu Bang, who became Emperor Gaozu of the Han Dynasty, “established three chapters of law” with the people of Guanzhong, which played an important role in the Han dominance of China. The 60 headings of the Han legal code formed during the reign of Han Wudi, were used by the Han Dynasty for nearly 400 years. Emperor Taizong of the Tang Dynasty saw obedience to the law as the most important task of governing the country. The Code of the Zhenguan achieved the “rule of during the Zhenguan period” (translator’s note: Zhenguan is the name of the reign period of Tang Taizong). Revisions to the Code of the Zhenguan produced the Tang Code, which laid the legal cornerstone for the flourishing of the Tang Dynasty. World history shows the prosperity of a country often arises with the rule of law. More than 3,000 years ago, when Hammurabi became king of Babylon, he unified the national laws and formulated the Code of Hammurabi, the first statutory law code in human history. The laws in this code were engraved on stone stelae, which brought the kingdom of ancient Babylon into a flourishing period in ancient Mesopotamia. The famous German jurist Rudolf von Jhering said that the Roman Empire conquered the world three times, the first time by force, the second time by religion, and the third time by law. Their force perished due to the demise of the Roman Empire, their religion lost its influence as the people’s ideological consciousness increased and science developed. Only the law with which they conquered the world remains as their most enduring conquest. "
