title,author,date_pub,full_text
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021",I
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021","The Zunyi Conference was an important meeting with great significance as a turning point in the history of our Party. It left us with valuable experience and important inspiration in integrating the basic principles of Marxism with the specific reality of China, persisting in taking the path of independence, consolidating correct political lines and policy strategies, and building a strong and mature central leadership collective. We must make good use of the historical experience of the Zunyi Conference and allow the spirit of the Zunyi Conference to shine on forever. "
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021","(Speech during an inspection of Guizhou from June 16 to 18, 2015) "
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021",II
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021","At the preparatory meeting of the Seventh Party Congress, Chairman Mao said a famous saying: “You must know that a team is often not very neat, so you must always call for alignment, to the left, to the right, and to the center. We must align with the benchmarks of the Central Committee and the benchmarks of the General Assembly. Alignment is the principle, deviations are real life. If there are deviations, call for alignment.” Chairman Mao said alignment is the principle, deviations are real life. This is a very profound truth. Just as in the military, well-trained troops often have to shout to stay in line. They have to shout every day and all the time. Of course, it is easier to align the team as a whole because it is physical. It is not so easy to align ideologically and politically. To frequently call for alignment is the law and experience of our Party’s efforts to strengthen its self-construction. Only by frequently calling for alignment and only when Party organizations at all levels are constantly calling for alignment can we be constantly vigilant and make corrections in a timely manner so that the whole Party can always maintain an organized and high-spirited state of endeavor. An important purpose of continuously bringing together leading cadres at Party schools for study and training is to help everyone align with the Party Central Committee. "
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021","(Speech at the National Party School Work Conference on December 11, 2015) "
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021",III 
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021","After the Third Plenum of the Eleventh Central Committee of the CCP, our Party summed up the positive and negative experiences of intra-party political life, especially the painful lessons of the “Cultural Revolution”, and formulated Several Principles on Political Life in the Party (关于党内政治生活的若干准则, this document name has multiple English translations) in 1980. In the special period after the end of the “Cultural Revolution”, these Principles played a very important role in achieving political, ideological, organizational, and work style corrections and shifting the work center of the whole Party, in promoting unity within the Party, and in ensuring the smooth progress of reform, opening up, and socialist modernization. "
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021","The 1980 principles not only proposed solutions to the prominent contradictions and problems existing in the Party at that time, but also summarized the valuable experience gained by the Party in long-term practice. They represented an enrichment and development of Marxist party-building theory and had groundbreaking significance. Their main principles and regulations are still applicable today. For example, regarding the goals and basic principles of political life within the Party, regarding adhering to the Party’s political and ideological lines, regarding upholding collective leadership and opposing individual arbitrary decision-making, regarding maintaining the Party’s centrality and unity and strictly abiding by party discipline, regarding upholding Party spirit, regarding speaking the truth and practicing what we preach, regarding the promotion of intra-party democracy and correct handling of different opinions, regarding protecting the rights of Party members from infringement, regarding accepting the supervision of the Party and the masses and prohibiting the enjoyment of special privileges, and so on. These require continued adherence. "
Summary of the Party’s Historical Experience to Strengthen the Party’s Political Construction,Xi Jinping ,"Aug 15, 2021","(Explanation of  “Several Guidelines on Political Life within the Party under the New Situation” and “Regulations of the Communist Party of China on Internal Oversight” given at the Sixth Plenum of the 18th Central Committee on October 24, 2016) "
