title,author,date_pub,full_text
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","This year is the hundredth anniversary of the founding of the Chinese Communist Party (CCP). The launch of Party history learning and education among all Party members was a major decision by the Party Central Committee that establishes a new centennial starting point for the Party, provides coordinated planning for the overall strategy of the great rejuvenation of the Chinese nation and great changes in the world unseen in a century, and mobilizes the whole Party and the whole country to devote themselves with full confidence to building a modernized socialist country in an all-around way. The Party Central Committee has already printed and issued the Notice Concerning the Launch of Party History Learning and Education Among All Party Members and has made arrangements for this work. Party committees (Party groups) at all levels should conscientiously implement it. Today, I will especially emphasize three issues."
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021",I. The Launch of Party History Learning and Education Is Highly Significant
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","Party history is the liveliest and most persuasive textbook. Our Party has always valued Party history learning and education. It has stressed the use of the Party’s course of struggle and great achievements in inspiring a fighting spirit and clearly defining directions. It has used the Party’s glorious traditions and excellent work style to reinforce beliefs and consolidate strength. It has used the Party’s practice and creations and its historical experience to impart wisdom and foster good character. Comrade Mao Zedong said: “If we don’t get Party history right, if we don’t figure out the historical road that the Party traveled, we won’t be able to do any better than we’re doing.” Comrade Deng Xiaoping said: “Every party and every country has its own history. It’s only by analyzing and summarizing it with an objective attitude of seeking truth from the facts that it proves beneficial.” Comrade Jiang Zemin emphasized: “One should study hard to learn Chinese history, particularly modern history and Party history, and, through such an effort, master and carry forward the fine tradition of the Chinese nation and the fine tradition of the Party.” Comrade Hu Jintao pointed out: “By launching various commemorative and educational activities, let us spur the vast number of young and middle-aged cadres to conduct further study of Party knowledge and Party history, gain an in-depth understanding of fine Party traditions and work styles, continually strengthen Party consciousness, and struggle for the Party’s cause with greater steadfastness and awareness.”"
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","Since the 18th Party Congress, the Party Central Committee has placed a high value on the learning of Party history. On different occasions, I have also put forward demands, which may be summed up in the following: First, our Party, having traversed a magnificent historical course of a hundred years, having ruled the world’s largest socialist country for more than 70 years, and having over 91 million Party members, has developed into the world’s largest Marxist ruling Party. For the CCP, which is determined to fight for the eternal wellbeing of the Chinese nation, the centenary signifies the prime of life. It should always stand at the forefront of current trends, stand on the frontline of the battle to tackle problems and overcome difficulties, stand amidst the overwhelming majority of the people, and remain forever in an undefeatable position. Second, history is the best teacher. The history of our Party constitutes the most moving chapters in China’s modern history. In the course of the people’s searching and struggling, history forged the CCP, and, by uniting and leading the people, our Party produced a new historical brilliance for long-standing Chinese civilization. Everything moves forward, but we can never forget the road we have traveled. No matter how far we travel or how brilliant the future we travel to, we still cannot forget our past journey. Nor can we forget why we set out. Third, to learn Party history is to uphold and develop socialism with Chinese characteristics. It is a mandatory course for continuing to carry forward all the causes of the Party and the state. Not only is this course mandatory, but also it requires proper study. Fourth, Chinese revolutionary history is the best nutrient. A revival of this part of our great history makes it possible to receive a lively education in the Party’s original aspirations and mission, its character and purpose, its ideals and beliefs. We must inscribe this magnificent history in hearts and minds and pass on “red genes.” Fifth, it is necessary to study Party history, new China history, reform and opening up history, and socialist development history. The vast number of Party members should emphasize study of Party history to achieve love of the Party through historical knowledge and love of country through historical knowledge. In learning and comprehending, they should reinforce their ideals and beliefs; in exerting themselves to achieve something, they should fulfill the original aspirations and mission. Sixth, our Party’s history is the history of our Party’s mutual affinity with the people, of the joys and sorrows we’ve shared with the people, of our unified struggle with the people. We must live together and work together, always maintaining our ties of flesh and blood to the masses. Seventh, comprehensively disseminating Party history and fully bringing history’s roles of serving as a mirror to the present, of helping those in authority to govern, and of educating the people into play are among the most important of all the tasks of the Party and the state at present. Eighth, the purpose of looking back at history is not to seek comfort from our successes therein, even less is it to rest on our laurels or to avoid the difficulties currently confronting us or to seek excuses for our problems. Rather, it is to summarize historical experience, grasp historical patterns, and bolster the courage and strength we need to forge ahead in a pioneering spirit. Ninth, let us insist on using the materialist conception of history to understand history, insist on the ideological line of seeking truth from facts, distinguish between essentials and nonessentials, uphold truth, correct errors, carry forward experiences, and absorb lessons. All of these are consistent positions and attitudes of our Party concerning Party history. They embody our Party’s profound understanding of the importance and necessity of learning and employing Party history."
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","Today, it is both right and absolutely necessary to launch Party history learning and education among all Party members at this important moment of celebrating the centennial of our Party’s birth and at this critical node of historical convergence of the “Two Centennial” objectives Our Party’s one hundred years have been a hundred years of making vows and keeping them in regard to our original aspirations and mission, a hundred of years of enduring the hardships of pioneering work and laying a foundation, a hundred years of creating brilliance and opening up the future. In a hundred years of continuing the struggle, the Party united and led the people in opening a great new road, in achieving great triumphs, in forging a great spirit, in accumulating precious experience, in creating astounding miracles in the Chinese nation’s development history and in the history of the progress of human society. Looking back at past struggles and looking forward to the struggles ahead, we must learn Party history and summarize it properly; we must make sure to pass on and carry forward the successful experiences of the Party."
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","First, the launch of Party history learning and education among all Party members is the inevitable requirement for the noble undertaking of keeping true to our original aspirations and mission and advancing the history of the great rejuvenation of the Chinese nation. Ever since the day of its birth, our Party has been tightly linked to the future fate of the Chinese people and the Chinese nation. Following the Opium Wars, China gradually turned into a semi-colonial, semi-feudal society. Under invasion by foreign powers, frequently subject to the flames of war, our land occupied and carved up, and the people plunged into misery—in such a tragic situation did the Chinese people eke out a wretched existence. From that time on, to achieve national rejuvenation became the greatest dream of the Chinese nation. To free ourselves from a fate of slavery and humiliation, countless people with lofty ideals advanced in wave upon wave, each striving to find a way to save the country. The Taiping Heavenly Kingdom Movement, the Westernization Movement, the Hundred Days’ Reform, the Boxer Rebellion, and the 1911 Revolution arose, one after another, but all ended in failure. None was able to alter the tragic fate of the Chinese people and the Chinese nation. The sound of the guns of the October Revolution gave China the gift of Marxism-Leninism. This was like a ray of sunlight in the darkness. To those Chinese advanced elements who were in a bitter search for a way to save both country and people, it pointed the way forward: The Chinese Communist Party was born. Beginning the moment it stepped onto the Chinese political stage, our Party upheld the positions, viewpoints, and methods of Marxism-Leninism and unswervingly sought the well-being of the Chinese people and the rejuvenation of the Chinese nation. From this moment forward, the Chinese people began spiritually to turn from passivity to activity, and the Chinese nation began the arduous yet irreversible progress towards its great rejuvenation."
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","For a hundred years, no matter how circumstances and tasks changed, no matter what kind of stormy seas it encountered, our Party always firmly grasped the historical initiative, anchored itself to the objectives of struggle, and resolutely advanced in the correct direction. It took our Party nearly 30 years of uniting and leading the people to complete the New Democratic Revolution. It establish the new China, and the Chinese people thereupon stood up. Proceeding on a foundation of socialist revolution and construction, our Party united and led the people for more than 40 years in carrying out reform and opening up and achieved the great historical success of building a moderately prosperous society in an all-around way. We won the war on poverty on schedule and achieved the first of the centennial objectives. The next step is for our Party to unite and lead the people in basically achieving socialist modernization by 2035 and then, upon that foundation, struggle another 15 years to complete our transformation into a modernized socialist superpower by the middle of this century."
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","Each generation has its responsibilities. The dawning of the great rejuvenation of the Chinese nation is before us; our future is bright. At the same time, we must have a clear-headed recognition of the fact that the great rejuvenation of the Chinese nation is not something that can be achieved easily, by just making a lot of celebratory noises. We face both rare opportunities and forbidding challenges. At this critical moment, we cannot tolerate any stopping or delays, any “wait and see.” We must not forget our original aspirations and remain true to our mission; we must press on with our struggle to the very end."
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","A Chinese ancient said: “Conscientiously research past affairs and carefully predict future affairs while referring to everyday affairs; then, if feasible, make a decision.” The purposes of launching Party history learning and education among all Party members are to educate and guide the entire Party in using history as a mirror and history as a means to clarify the mind, to understand the great contributions and fundamental successes that the Party achieved for the Chinese nation by uniting and leading the people, to know the historical position of contemporary China, to strengthen historical consciousness, to link the painful and brilliant past to the rapidly and continuously changing present to the glorious and grand future, to grasp hold of the correct direction in the midst of confusing circumstances, to foster courage and insight when faced with risks and challenges, to inspire the confidence and motivation to struggle for the great rejuvenation of the Chinese nation, to firmly and persistently advance regardless of the conditions, and to initiate great historical undertakings that belong to our generation."
Talk Given at the Party History Learning and Education Mobilization Meeting ,Xi Jinping ,"Feb 20, 2021","Second, the launch of Party history learning and education among all Party members is the inevitable requirement for reinforcing faith and beliefs and for upholding and developing socialism with Chinese characteristics in the new era. Faith and beliefs are critically important at all times. Faith in communism and belief in socialism with Chinese characteristics are the political soul of Communist Party members. They are the spiritual support that enables Communist Party members to bear any trial. In the new era, the most important things for reinforcing faith and belief are to reinforce confidence in the path of socialism with Chinese characteristics, confidence in its theory, confidence in its system, and confidence in its culture. The hundred-year struggle and great achievements of the Party are the firmest foundation upon which we strengthen the “Four Confidences.”"
