title,author,date_pub,full_text
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","Your Excellency Prime Minister Mario Draghi,Dear Colleagues, "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","I wish to begin by sincerely thanking Italy, the G20 President, for the great efforts it has made in hosting this Summit.  "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","The city of Rome, with its time-honored history, has left a splendid chapter in the history of human civilization. Today, we are meeting here against the backdrop of a protracted COVID-19 pandemic, fragile economic recovery, acute challenges of climate change, and frequent flare-ups of regional hotspot issues. With “People, Planet, Prosperity” as its theme, the Rome Summit gives expression to the resolve of the international community to act in solidarity to defeat the pandemic and revive the world economy, and demonstrates the mission of the G20 to lead the transformation of global economic governance.  "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","Faced with changes and a pandemic both unseen in a century, the G20, the premier forum for international economic cooperation, needs to shoulder its due responsibilities, bear in mind the future of humanity and the welfare of the people, uphold openness, inclusiveness and win-win cooperation, practice true multilateralism, and promote the building of a community with a shared future for mankind. To be specific, I would like to suggest that we work in the following five areas. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","First, work in solidarity to combat COVID-19. With the coronavirus ravaging the whole world, none of us can stay safe on our own. Solidarity and cooperation are the most powerful weapon. The international community must work in concert to confront and defeat the pandemic with a science-based approach. Stigmatization of the virus and politicization of origins tracing run counter to the spirit of solidarity against the pandemic. We need to step up cooperation on prevention, control, diagnosis and treatment, and enhance preparedness for major public health emergencies. The G20 includes the world’s major economies and should therefore play a leading role in building consensus, mobilizing resources, and promoting cooperation.  "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","At the early stage of the pandemic, I called for COVID-19 vaccines to be made a global public good. On that basis, I would like to propose here a Global Vaccine Cooperation Action Initiative: First, we need to strengthen vaccine R&D cooperation and support vaccine companies in conducting joint R&D and production with developing countries. Second, we need to uphold equity and justice, and provide more vaccines to developing countries to meet the global vaccination target for 2022 as set by the World Health Organization (WHO). Third, we need to support the World Trade Organization (WTO) in making an early decision on waiving intellectual property rights on COVID-19 vaccines, and encourage vaccine companies to transfer technology to developing countries. Fourth, we need to scale up cross-border trade cooperation to ensure smooth trade in vaccines and related raw and auxiliary materials. Fifth, we need to treat different vaccines equally and advance mutual recognition of vaccines in accordance with the WHO’s Emergency Use Listing. Sixth, we need to provide financial support for global vaccine cooperation, especially for developing countries to access vaccines. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","To date, China has provided over 1.6 billion doses of vaccines to more than 100 countries and international organizations, and will provide over two billion doses to the world in the course of this year. China is conducting joint vaccine production with 16 countries, with an initial capacity of 700 million doses per year. The International Forum on COVID-19 Vaccine Cooperation that I proposed last May at the Global Health Summit was held successfully in August. The participating countries reached intended deals of over 1.5 billion doses for this year. China, together with 30 other countries, has also launched an Initiative for Belt and Road Partnership on COVID-19 Vaccines Cooperation, calling on the international community to promote fair distribution of vaccines around the world. China is ready to work with all parties to enhance vaccine accessibility and affordability in developing countries and make positive contribution to building a global line of defense through vaccination. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","Second, strengthen coordination to promote recovery. COVID-19 has made a complex and far-reaching impact on the world economy. It is imperative that we apply the right prescriptions to address both symptoms and root causes of the problems we face. We should step up macroeconomic policy coordination and ensure the continuity, consistency and sustainability of our policies. Major economies should adopt responsible macroeconomic policies, prevent measures taken for themselves from entailing rising inflation, exchange rate fluctuations or mounting debts, avoid negative spillovers on developing countries, and ensure sound operation of the international economic and financial system. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","At the same time, we should take a long-term perspective, improve the global economic governance system and rules, and make up for the relevant governance deficit. We should continue to push for the scheduled conclusion of the 16th General Quota Review of the International Monetary Fund (IMF) to buttress the global financial safety net. China supports the early launch of negotiations on the 20th replenishment process of the International Development Association, and maintains that the relevant Voting Rights Review should faithfully reflect the changes in the international economic landscape and raise the voice of developing countries. China welcomes the IMF’s decision on the new allocation of Special Drawing Rights totaling 650 billion US dollars, and stands ready to lend the new allocation to low-income countries that are seriously affected by COVID-19. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping,"Oct 30, 2021","We should safeguard the multilateral trading system with the WTO at its core and build an open world economy. The G20 should continue to provide political guidance on the reform of the WTO, uphold its core values and basic principles, and protect developing countries’ rights, interests and development space. It is imperative to restore, as quickly as possible, the normal operation of the dispute settlement mechanism, and work for positive results at the 12th WTO Ministerial Conference. We should keep the industrial and supply chains safe and stable, and ensure the smooth functioning of the world economy. China proposes to hold an international forum on resilient and stable industrial and supply chains, and welcomes the active participation of G20 members and relevant international organizations. "
